topic_id,title,clean_title,forum_url,author,tags,release_id,release_title,vn_id,vn_title,released,platforms,languages,engine,script_format_hint,release_url,vn_url,external_url,match_confidence,source_catalog_date
65697,VTuber Connect [Free][BxG],VTuber Connect,https://lemmasoft.renai.us/forums/viewtopic.php?t=65697,ahgoo530_,Free; BxG,r98527,VTuber Connect,v39675,VTuber Connect,2022-11-21,win; lin; mac,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r98527,https://vndb.org/v39675,https://verumvincula.itch.io/vtuber-connect,exact_title_unique_vn,2026-07-13
70109,Heart.Marrow.Blood [Velox Fabula 3 Jam][Surreal][Psychological][Fantasy][GxB][Free],Heart.Marrow.Blood,https://lemmasoft.renai.us/forums/viewtopic.php?t=70109,thetiredone,Velox Fabula 3 Jam; Surreal; Psychological; Fantasy; GxB; Free,r141915,Heart. Marrow. Blood.,v59351,Heart. Marrow. Blood.,2025-09-15,win; lin; mac; web,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r141915,https://vndb.org/v59351,https://heartsyncproductions.itch.io/heart-marrow-blood,exact_title_unique_vn,2026-07-13
70011,Painless Cuts [FREE] [HORROR],Painless Cuts,https://lemmasoft.renai.us/forums/viewtopic.php?t=70011,BlueROSE,FREE; HORROR,r140700,Painless Cuts,v58855,Painless Cuts,2025-08-16,win; lin,en,RPG Maker,unknown,https://vndb.org/r140700,https://vndb.org/v58855,https://bluerose404.itch.io/painless-cuts,exact_title_unique_vn,2026-07-13
69448,Game Master - a visual novel with mini games [free],Game Master,https://lemmasoft.renai.us/forums/viewtopic.php?t=69448,Holovve,free,r140187,Game Master,v58600,Game Master,2025-02-15,win; lin; mac; and,en; es; fr,Ren'Py,.rpy/.rpyc,https://vndb.org/r140187,https://vndb.org/v58600,https://nicoderoche.itch.io/game-master,exact_title_unique_vn,2026-07-13
69936,Aurum Family [Psychological] [Horror] [Short] [FREE],Aurum Family,https://lemmasoft.renai.us/forums/viewtopic.php?t=69936,lothaine,Psychological; Horror; Short; FREE,r139297,Aurum Family,v58166,Aurum Family,2025-07-20,win; lin; mac; web,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r139297,https://vndb.org/v58166,https://lothaine.itch.io/aurum-family,exact_title_unique_vn,2026-07-13
69899,Bounty or Booty [Otome] [GxB/GxG] [FREE],Bounty or Booty,https://lemmasoft.renai.us/forums/viewtopic.php?t=69899,Doksa,Otome; GxB; GxG; FREE,r137868,Bounty or Booty,v57378,Bounty or Booty,2025-06-30,win; lin,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r137868,https://vndb.org/v57378,https://doksa.itch.io/bounty-or-booty,exact_title_unique_vn,2026-07-13
69879,A Romance in Seven Dimensions [romance][sci-fi][kinetic][free],A Romance in Seven Dimensions,https://lemmasoft.renai.us/forums/viewtopic.php?t=69879,spidertreegames,romance; sci-fi; kinetic; free,r138540,A Romance in Seven Dimensions,v57801,A Romance in Seven Dimensions,2025-06-22,win; lin; mac,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r138540,https://vndb.org/v57801,https://spidertreegames.itch.io/a-romance-in-7-dimensions,exact_title_unique_vn,2026-07-13
65607,Of Frost and Flowers [GxB] [Otome] [Fantasy] [Mystery] [Free],Of Frost and Flowers,https://lemmasoft.renai.us/forums/viewtopic.php?t=65607,else_th,GxB; Otome; Fantasy; Mystery; Free,r98391,Of Frost and Flowers,v36742,Of Frost and Flowers,2022-10-30,win; lin; mac,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r98391,https://vndb.org/v36742,https://elseth.itch.io/of-frost-and-flowers,exact_title_unique_vn,2026-07-13
69723,Aliferous; those with wings [FREE][otome][slice of life][fantasy][lgbt][Velox Formido 2 Jam],Aliferous; those with wings,https://lemmasoft.renai.us/forums/viewtopic.php?t=69723,thetiredone,FREE; otome; slice of life; fantasy; lgbt; Velox Formido 2 Jam,r134728,Aliferous; those with wings,v55924,Aliferous; those with wings,2025-04-27,win; lin; mac,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r134728,https://vndb.org/v55924,https://heartsyncproductions.itch.io/aliferous-those-with-wings,exact_title_unique_vn,2026-07-13
69735,A Soul's Price [COLLEGE][DRAMA][THRILLER][FREE],A Soul's Price,https://lemmasoft.renai.us/forums/viewtopic.php?t=69735,skyeroze,COLLEGE; DRAMA; THRILLER; FREE,r134967,A Soul's Price,v56076,A Soul's Price,2025-04-04,win; lin; mac; web,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r134967,https://vndb.org/v56076,https://skyeroze.itch.io/a-souls-price,exact_title_unique_vn,2026-07-13
69696,Mandatory Fun [COMEDY][DRAMA][ARMY][FREE],Mandatory Fun,https://lemmasoft.renai.us/forums/viewtopic.php?t=69696,RoomTen,COMEDY; DRAMA; ARMY; FREE,r134487,Mandatory Fun,v55849,Mandatory Fun,2025-06-08,win,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r134487,https://vndb.org/v55849,https://room-ten.itch.io/mandatory-fun,exact_title_unique_vn,2026-07-13
69717,The Ghost of Alcantra [Free][Romance][Mystery],The Ghost of Alcantra,https://lemmasoft.renai.us/forums/viewtopic.php?t=69717,lelouchswag,Free; Romance; Mystery,r134213,The Ghost of Alcantra,v55742,The Ghost of Alcantra,2025-04-25,win; mac,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r134213,https://vndb.org/v55742,https://ghostofalcantra.itch.io/the-ghost-of-alcantra,exact_title_unique_vn,2026-07-13
69714,He was just tired [HORROR] [FREE],He was just tired,https://lemmasoft.renai.us/forums/viewtopic.php?t=69714,BlueROSE,HORROR; FREE,r140197,He was just tired,v58607,He was just tired,2025-04-27,win; lin,en,RPG Maker,unknown,https://vndb.org/r140197,https://vndb.org/v58607,https://bluerose404.itch.io/he-was-just-tired,exact_title_unique_vn,2026-07-13
69712,De Profundis [Mystery][Horror][FREE],De Profundis,https://lemmasoft.renai.us/forums/viewtopic.php?t=69712,Doedelzak,Mystery; Horror; FREE,r134619,De Profundis,v55881,De Profundis,2019-01-25,win; lin; mac,fr,Ren'Py,.rpy/.rpyc,https://vndb.org/r134619,https://vndb.org/v55881,https://pointscontigus.itch.io/de-profundis,exact_title_unique_vn,2026-07-13
69712,De Profundis [Mystery][Horror][FREE],De Profundis,https://lemmasoft.renai.us/forums/viewtopic.php?t=69712,Doedelzak,Mystery; Horror; FREE,r134719,De Profundis - English edition,v55881,De Profundis,2025-04-27,win; lin; mac,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r134719,https://vndb.org/v55881,https://pointscontigus.itch.io/de-profundis-english-edition,exact_title_unique_vn,2026-07-13
69251,"BORGAR QUEST VN - many choices, burgers, memes, zombies, romance [FREE]",BORGAR QUEST VN,https://lemmasoft.renai.us/forums/viewtopic.php?t=69251,Borgarlover,FREE,r130626,Borgar Quest VN,v54148,Borgar Quest VN,2024-12-20,win; lin,en,,unknown,https://vndb.org/r130626,https://vndb.org/v54148,https://borgarlover.itch.io/borgar-quest-vn,exact_title_unique_vn,2026-07-13
69625,Heaven Forbid [NaNoRenO 2025] [Fantasy] [Dress-up Minigame] [Free],Heaven Forbid,https://lemmasoft.renai.us/forums/viewtopic.php?t=69625,ilyilaice,NaNoRenO 2025; Fantasy; Dress-up Minigame; Free,r133559,Heaven Forbid,v55417,Heaven Forbid,2025-03-30,win; lin; mac,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r133559,https://vndb.org/v55417,https://orcamartiangames.itch.io/heaven-forbid,exact_title_unique_vn,2026-07-13
69630,"Mail For You, Miss Spider! [NaNoRenMo 2025][Horror/Romance][FREE]","Mail For You, Miss Spider!",https://lemmasoft.renai.us/forums/viewtopic.php?t=69630,PrismaticVoid,NaNoRenMo 2025; Horror; Romance; FREE,r133599,"Mail For You, Miss Spider!",v55436,"Mail For You, Miss Spider!",2025-03-31,win; lin; mac,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r133599,https://vndb.org/v55436,https://prismaticvoid.itch.io/mail-for-you-miss-spider,exact_title_unique_vn,2026-07-13
69566,Gloria's Hole [HORROR] [FREE],Gloria's Hole,https://lemmasoft.renai.us/forums/viewtopic.php?t=69566,BlueROSE,HORROR; FREE,r140145,Gloria's Hole,v58577,Gloria's Hole,2025-03-15,win; lin,en,RPG Maker,unknown,https://vndb.org/r140145,https://vndb.org/v58577,https://bluerose404.itch.io/glorias-hole,exact_title_unique_vn,2026-07-13
69497,GuruGuruGaō [Free],GuruGuruGaō,https://lemmasoft.renai.us/forums/viewtopic.php?t=69497,canblas,Free,r132513,GuruGuruGaō,v54993,GuruGuruGaō,2025-02-26,win; lin; mac; and; web,en; es,Ren'Py,.rpy/.rpyc,https://vndb.org/r132513,https://vndb.org/v54993,https://guillermocanino.itch.io/gurugurugao,exact_title_unique_vn,2026-07-13
69494,Snowfall [Free],Snowfall,https://lemmasoft.renai.us/forums/viewtopic.php?t=69494,David Gallie,Free,r105738,Snowfall,v43808,Snowfall,2023-04-04,win; lin; mac,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r105738,https://vndb.org/v43808,https://rodfireproductions.itch.io/snowfall,exact_title_unique_vn,2026-07-13
69452,The Seabed's Shining Star [Short][Comfy][Free],The Seabed's Shining Star,https://lemmasoft.renai.us/forums/viewtopic.php?t=69452,otsukiyaki,Short; Comfy; Free,r132074,The Seabed's Shining Star,v54819,The Seabed's Shining Star,2025-02-12,win; lin,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r132074,https://vndb.org/v54819,https://otsukiyaki.itch.io/the-seabeds-shining-star,exact_title_unique_vn,2026-07-13
68900,"the Witch and the Prince [Fantasy, BxB, Free]",the Witch and the Prince,https://lemmasoft.renai.us/forums/viewtopic.php?t=68900,Sugar-Junkie,Fantasy; BxB; Free,r126785,The Witch and the Prince,v52446,The Witch and the Prince,2024-08-30,win; lin; mac,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r126785,https://vndb.org/v52446,https://maxmorkson.itch.io/the-witch-and-the-prince,exact_title_unique_vn,2026-07-13
69248,Holiday Mixer [Free][Winter][Christmas][GxB],Holiday Mixer,https://lemmasoft.renai.us/forums/viewtopic.php?t=69248,Lime-Kiwi,Free; Winter; Christmas; GxB,r130574,Holiday Mixer,v54122,Holiday Mixer,2024-12-25,win; lin; mac,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r130574,https://vndb.org/v54122,https://kipursuit.itch.io/holiday-mixer,exact_title_unique_vn,2026-07-13
69232,Royal Duality: The Waiting Room [FREE][Supernatural],Royal Duality: The Waiting Room,https://lemmasoft.renai.us/forums/viewtopic.php?t=69232,rosemask22,FREE; Supernatural,r130416,Royal Duality: The Waiting Room,v54051,Royal Duality: The Waiting Room,2024-12-20,win; lin; mac,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r130416,https://vndb.org/v54051,https://hyakuten-games.itch.io/the-waiting-room,exact_title_unique_vn,2026-07-13
68962,Death & Faeology - Prologue [Spooktober Jam 2024] [Dark Academia] [Murder Mystery] [Free],Death & Faeology,https://lemmasoft.renai.us/forums/viewtopic.php?t=68962,ilyilaice,Spooktober Jam 2024; Dark Academia; Murder Mystery; Free,r128055,Death & Faeology - Prologue,v53074,Death & Faeology,2024-09-29,win,en,Unity,unknown,https://vndb.org/r128055,https://vndb.org/v53074,https://mushroomallow.itch.io/dark-and-faeology-prologue,exact_title_unique_vn,2026-07-13
68931,Ice & Bond [BxB][Xianxia BL][Free],Ice & Bond,https://lemmasoft.renai.us/forums/viewtopic.php?t=68931,shortycake,BxB; Xianxia BL; Free,r127716,Ice & Bond,v52888,Ice & Bond,2024-09-28,win; lin; mac; and; web,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r127716,https://vndb.org/v52888,https://shortycake.itch.io/ice-n-bond,exact_title_unique_vn,2026-07-13
68856,[FREE] Clannad -Happy Birthday-,Clannad -Happy Birthday,https://lemmasoft.renai.us/forums/viewtopic.php?t=68856,TeamIwaki,FREE,r130936,CLANNAD -Happy Birthday-,v54298,CLANNAD -Happy Birthday-,2024-04-28,win; lin; mac,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r130936,https://vndb.org/v54298,https://team-iwaki.itch.io/clannad-happy-birthday,exact_title_unique_vn,2026-07-13
68814,Just open it already [HORROR] [FREE],Just open it already,https://lemmasoft.renai.us/forums/viewtopic.php?t=68814,BlueROSE,HORROR; FREE,r138131,Just open it already,v57532,Just open it already,2024-09-02,win; lin,en,RPG Maker,unknown,https://vndb.org/r138131,https://vndb.org/v57532,https://bluerose404.itch.io/just-open-it-already,exact_title_unique_vn,2026-07-13
68813,Where Sea Foam Fades [Velox Fabula 2 Jam][BXB][Fantasy][Free],Where Sea Foam Fades,https://lemmasoft.renai.us/forums/viewtopic.php?t=68813,jkj,Velox Fabula 2 Jam; BXB; Fantasy; Free,r126888,Where Sea Foam Fades,v52363,Where Sea Foam Fades,2024-09-02,win; lin; mac; web,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r126888,https://vndb.org/v52363,https://heartsyncproductions.itch.io/whereseafoamfades,exact_title_unique_vn,2026-07-13
68795,The Wishmaker [FREE][Tales to Thrill Jam 2024],The Wishmaker,https://lemmasoft.renai.us/forums/viewtopic.php?t=68795,rosemask22,FREE; Tales to Thrill Jam 2024,r126673,The Wishmaker,v52404,The Wishmaker,2024-08-27,win; mac; web,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r126673,https://vndb.org/v52404,https://rosemask22.itch.io/the-wishmaker,exact_title_unique_vn,2026-07-13
68669,Locked Room on Rails [Free] [Short] [Murder Mystery],Locked Room on Rails,https://lemmasoft.renai.us/forums/viewtopic.php?t=68669,solarProtag,Free; Short; Murder Mystery,r126443,Locked Room on Rails v1.2,v52090,Locked Room on Rails,2024-08-21,win; lin; mac,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r126443,https://vndb.org/v52090,https://solarprotagonist.itch.io/locked-room-on-rails,exact_title_unique_vn,2026-07-13
68665,The Manor [Free][Short][Light Horror],The Manor,https://lemmasoft.renai.us/forums/viewtopic.php?t=68665,LolaPiaoliang,Free; Short; Light Horror,r126714,The Manor,v52418,The Manor,2024-06-07,win; lin; mac; and,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r126714,https://vndb.org/v52418,https://lolapiaoliang.itch.io/the-manor,exact_title_unique_vn,2026-07-13
68587,Dinner with a Deity [O2A2 Jam][Fantasy][FREE],Dinner with a Deity,https://lemmasoft.renai.us/forums/viewtopic.php?t=68587,rosemask22,O2A2 Jam; Fantasy; FREE,r125211,Dinner with a Deity,v51740,Dinner with a Deity,2024-07-12,win; mac; web,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r125211,https://vndb.org/v51740,https://hyakuten-games.itch.io/dinner-with-a-deity,exact_title_unique_vn,2026-07-13
68586,Wolf in the Woods [O2A2 Jam][Dark Fantasy][FREE],Wolf in the Woods,https://lemmasoft.renai.us/forums/viewtopic.php?t=68586,rosemask22,O2A2 Jam; Dark Fantasy; FREE,r125204,Wolf in the Woods,v51735,Wolf in the Woods,2024-07-12,win; mac; web,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r125204,https://vndb.org/v51735,https://rosemask22.itch.io/wolf-in-the-woods,exact_title_unique_vn,2026-07-13
68581,WINDOWBOY Drowning [O2A2 Jam][Surreal][Free],WINDOWBOY Drowning,https://lemmasoft.renai.us/forums/viewtopic.php?t=68581,thetiredone,O2A2 Jam; Surreal; Free,r125159,WINDOWBOY Drowning,v51713,WINDOWBOY Drowning,2024-07-11,win; lin; mac; web,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r125159,https://vndb.org/v51713,https://heartsyncproductions.itch.io/windowboy-drowning,exact_title_unique_vn,2026-07-13
68564,YOU'RE MY FAVOURITE PLUSHIE [HORROR] [FREE],YOU'RE MY FAVOURITE PLUSHIE,https://lemmasoft.renai.us/forums/viewtopic.php?t=68564,BlueROSE,HORROR; FREE,r124990,YOU'RE MY FAVOURITE PLUSHIE,v51621,YOU'RE MY FAVOURITE PLUSHIE,2024-06-04,win,en,RPG Maker,unknown,https://vndb.org/r124990,https://vndb.org/v51621,https://bluerose404.itch.io/you-are-my-favourite-plushie,exact_title_unique_vn,2026-07-13
68545,Water Mage - Act 1 [Fantasy][Female Protagonist][Free],Water Mage,https://lemmasoft.renai.us/forums/viewtopic.php?t=68545,bluepuzzlebox,Fantasy; Female Protagonist; Free,r124732,Water Mage - Act 1,v51490,Water Mage,2024-06-29,win; lin; mac,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r124732,https://vndb.org/v51490,https://bluepuzzlebox.itch.io/water-mage-act-1,exact_title_unique_vn,2026-07-13
68329,Parts of the Elephant [Free][Short][Mystery],Parts of the Elephant,https://lemmasoft.renai.us/forums/viewtopic.php?t=68329,JohnnyTwoSkulls,Free; Short; Mystery,r123132,Parts of the Elephant,v50843,Parts of the Elephant,2024-05-14,win; lin; mac,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r123132,https://vndb.org/v50843,https://1head2skulls.itch.io/elephant,exact_title_unique_vn,2026-07-13
65924,Hoping This Finds You Well [Free][BxB][Romance][Steam],Hoping This Finds You Well,https://lemmasoft.renai.us/forums/viewtopic.php?t=65924,Alexis_Royce,Free; BxB; Romance; Steam,r132808,Hoping This Finds You Well v1.6.6,v41524,Hoping This Finds You Well,2025-03-06,win; lin; mac,en; es; zh-Hans,Ren'Py,.rpy/.rpyc,https://vndb.org/r132808,https://vndb.org/v41524,https://alexisroyce.itch.io/hoping-this-finds-you-well,exact_title_unique_vn,2026-07-13
68263,Perennial Melody [Free][Point and Click][Yuri],Perennial Melody,https://lemmasoft.renai.us/forums/viewtopic.php?t=68263,watchfob,Free; Point and Click; Yuri,r122403,Perennial Melody,v50606,Perennial Melody,2024-04-28,win; lin; mac,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r122403,https://vndb.org/v50606,https://happycat-games.itch.io/perennial-melody,exact_title_unique_vn,2026-07-13
67704,66.7fm [Dark][Free][Velox Turbo Game Jam],66.7fm,https://lemmasoft.renai.us/forums/viewtopic.php?t=67704,watchfob,Dark; Free; Velox Turbo Game Jam,r122401,66.7fm,v50605,66.7fm,2023-12-18,win; lin; mac,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r122401,https://vndb.org/v50605,https://curricle.itch.io/667fm,exact_title_unique_vn,2026-07-13
68142,Artificial Fashionista [NaNoRenO 2024] [Dress-Up Game] [Free],Artificial Fashionista,https://lemmasoft.renai.us/forums/viewtopic.php?t=68142,Syrale,NaNoRenO 2024; Dress-Up Game; Free,r121438,Artificial Fashionista,v50223,Artificial Fashionista,2024-03-31,win; lin; mac,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r121438,https://vndb.org/v50223,https://kigyo.itch.io/artificial-fashionista,exact_title_unique_vn,2026-07-13
68126,Ferris Feels [NaNoRenO 2024] [Horror] [Dark Romance] [Free],Ferris Feels,https://lemmasoft.renai.us/forums/viewtopic.php?t=68126,ilyilaice,NaNoRenO 2024; Horror; Dark Romance; Free,r121372,Ferris Feels,v50186,Ferris Feels,2024-03-30,win; lin; mac,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r121372,https://vndb.org/v50186,https://orcamartiangames.itch.io/ferris-feels,exact_title_unique_vn,2026-07-13
68090,For Whom the Stars Shine [Romance/Tragedy][Kinetic][Free],For Whom the Stars Shine,https://lemmasoft.renai.us/forums/viewtopic.php?t=68090,BrentBailey,Romance; Tragedy; Kinetic; Free,r120997,For Whom the Stars Shine,v50087,For Whom the Stars Shine,2024-03-23,win; lin; mac,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r120997,https://vndb.org/v50087,https://newdialog.itch.io/fwtss,exact_title_unique_vn,2026-07-13
67637,Stellar Reflections [Free][VN][Sci-Fi][Dystopian][Short Story],Stellar Reflections,https://lemmasoft.renai.us/forums/viewtopic.php?t=67637,Wiktor Borsuk,Free; VN; Sci-Fi; Dystopian; Short Story,r116159,Stellar Reflections,v48426,Stellar Reflections,2023-12-10,win,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r116159,https://vndb.org/v48426,https://badgercanfly.itch.io/stellar-reflections,exact_title_unique_vn,2026-07-13
67870,Based Farttorney [Comedy] [FREE],Based Farttorney,https://lemmasoft.renai.us/forums/viewtopic.php?t=67870,else_th,Comedy; FREE,r118918,Based Farttorney,v49344,Based Farttorney,2024-01-29,win; mac; web,en,Unity,unknown,https://vndb.org/r118918,https://vndb.org/v49344,https://elseth.itch.io/based-farttorney,exact_title_unique_vn,2026-07-13
67853,Heartsbloom [AceJam][Fantasy][Amare][Free],Heartsbloom,https://lemmasoft.renai.us/forums/viewtopic.php?t=67853,JQ37,AceJam; Fantasy; Amare; Free,r119891,Heartsbloom - ver. 1.1.1,v49247,Heartsbloom,2024-01-30,win; lin; mac,en; es,Ren'Py,.rpy/.rpyc,https://vndb.org/r119891,https://vndb.org/v49247,https://jq37.itch.io/heartsbloom,exact_title_unique_vn,2026-07-13
67733,I did it ALL for the COOKIE!!! [FREE][Comedy][Winter VN Jam 2023],I did it ALL for the COOKIE!!!,https://lemmasoft.renai.us/forums/viewtopic.php?t=67733,SuperPaulGames,FREE; Comedy; Winter VN Jam 2023,r118477,I Did It ALL for the COOKIE!,v49217,I Did It ALL for the COOKIE!,2023-12-31,win; mac,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r118477,https://vndb.org/v49217,https://rodenburg.itch.io/i-did-it-all-for-the-cookie,exact_title_unique_vn,2026-07-13
67675,Disruptive Compassion [Fantasy][Tragedy][Velox Turbo Game Jam][Free],Disruptive Compassion,https://lemmasoft.renai.us/forums/viewtopic.php?t=67675,thetiredone,Fantasy; Tragedy; Velox Turbo Game Jam; Free,r117476,Disruptive Compassion,v48859,Disruptive Compassion,2023-12-19,win; lin; mac,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r117476,https://vndb.org/v48859,https://heartsyncproductions.itch.io/disruptive-compassion,exact_title_unique_vn,2026-07-13
38142,(Free) Lucid9: Inciting Incident [Mystery][Thriller][BxG],Lucid9: Inciting Incident,https://lemmasoft.renai.us/forums/viewtopic.php?t=38142,DavidA.,Mystery; Thriller; BxG,r44655,Lucid9: Inciting Incident,v16156,Lucid9,2016-04-14,win; lin; mac,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r44655,https://vndb.org/v16156,https://fallen-snow-studios.itch.io/lucid9vn,exact_title_unique_vn,2026-07-13
67409,Coelacanth [Psychological Horror] [Free],Coelacanth,https://lemmasoft.renai.us/forums/viewtopic.php?t=67409,Sugar-Junkie,Psychological Horror; Free,r117475,Coelacanth,v48858,Coelacanth,2023-10-22,win; lin; mac,en,Ren'Py,.rpy/.rpyc,https://vndb.org/r117475,https://vndb.org/v48858,https://maxmorkson.itch.io/coelacanth,exact_title_unique_vn,2026-07-13
